,SOURCE_ID,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
0,635860218726658176,138.5187065217173,19.09233926905897,-5.941679495793577,-11.346409129876392,1,0,17.8978004455566,17.5174007415771,-59.247329893833296,-2.016078400820631,-7.527126084640531,1.7487794924176672
1,635674126383965568,138.8428741026386,19.031798198627634,-3.8970011609340207,-12.702779525389634,1,0,19.2873001098633,17.6781005859375,-59.13339098769217,-2.306900745179831,-7.560607655557415,-0.7417999555980248
2,635535454774983040,137.8377518255436,18.864006786112604,-4.335040664412791,-14.492308604905652,1,0,16.9237995147705,16.478099822998,-59.78529963350309,-1.5945692849622028,-9.357535617024025,-1.218492233959272
3,635497276810313600,138.0445160213759,19.00947118796605,-7.1729306406216615,-12.291499169815987,1,0,19.9242000579834,18.3339996337891,-59.55774434692722,-1.6821467937242842,-9.000831056712938,2.3344066165829678
4,635614168640132864,139.59219748145836,18.807955539071433,-3.309602916796381,-13.708904908478631,1,0,16.1515998840332,14.6662998199463,-58.93811346451088,-3.0241923218278295,-8.062761531706448,-1.8690819375362333
5,635685125795548160,139.3661475544695,19.028463915477083,-2.504022538279528,-11.27170795467831,1,0,20.014799118042,18.3934993743896,-58.86866973807497,-2.724958647033031,-5.580390712967222,-1.1961136004240385
6,635694467349085056,139.06182692172476,19.06744237567232,-3.0674889862265795,-11.4175270465402,1,0,18.6709003448486,17.9841995239258,-58.99159508381467,-2.4619251455235185,-6.020000636851533,-0.7694855338227359
7,635877570395672448,138.28997323741356,19.232696761851464,-2.638287363184212,-13.19483842407928,1,0,21.839599609375,19.7248001098633,-59.24488464601666,-1.7584431741646835,-7.317237836949673,-2.002413657880269
8,635745358416794496,139.89718770440393,19.372597127003626,-2.3091402546596025,-11.587553186175963,1,0,15.3625001907349,14.8073997497559,-58.30665240734413,-2.9591430788059268,-5.70121901192354,-1.5777376683239008
9,635598607974369792,139.20920023089508,18.624132868942702,-6.124445176881091,-12.833824027100611,1,0,16.5223999023438,16.1375007629395,-59.289566742363434,-2.818824933270725,-8.874803413073497,1.012516013264905
10,635797241621734528,139.76932692254266,19.526918136726096,-6.918899456450417,-11.58308782904047,1,0,17.7921009063721,17.3672008514404,-58.24274076120889,-2.774004690914491,-8.20564663318523,2.308614844463296
11,635737661835496576,139.93327552473934,19.167962454651423,-7.119403303682826,-12.687947497633793,1,0,14.5032997131348,13.9849004745483,-58.45993512068878,-3.099164027303625,-9.250161118329334,1.849371469138357
12,635850945892748672,139.86542888472115,20.011312663154804,-3.786655365804428,-14.28415600718206,1,0,16.5174999237061,16.0450000762939,-57.786689920945605,-2.586149476467312,-8.744839880549376,-1.7920325394467065
13,635688252531668736,139.4355221379844,19.139210509017957,-7.287395536504103,-13.939453801064635,1,0,15.5544996261597,14.8548002243042,-58.73991996256899,-2.7200540611691206,-10.407583199529993,1.372810377466481
14,635600532119713664,139.22869949616816,18.685939084485494,-3.9742788217925122,-12.342426623384245,1,0,20.4505996704102,19.5177001953125,-59.22750966159401,-2.8009503643897453,-7.295805128760131,-0.5316704941359028
15,635620701286087424,139.6862822364899,18.881113520820737,-3.3558418379356474,-12.925224236202752,1,0,20.4113006591797,19.5032997131348,-58.828178919787945,-3.059248465429391,-7.422250897720322,-1.4140400899589307
16,635740204456128896,139.98945182326287,19.27694306975315,-3.5117247908083487,-11.701695774207732,1,0,15.8247995376587,15.2495002746582,-58.33947456688196,-3.0842663960175303,-6.451529705436458,-0.642913470049533
17,635832357274302208,140.1301532714717,19.821917114066117,-4.055981152196889,-13.024120128840579,1,0,20.4759006500244,18.8048000335693,-57.80969235512674,-2.898062030760879,-7.8301446029196855,-0.9137327623362369
18,635593552797727488,139.00070003257937,18.55590290002122,-4.306131802878042,-12.54195022893678,1,0,20.6061992645264,18.8955001831055,-59.45390627627705,-2.689347322212028,-7.657516417638466,-0.33747754641125033
19,635667426234947072,138.89750064175942,18.872682695055357,-5.157042432354842,-13.24136226011474,1,0,19.8118000030518,17.9141998291016,-59.239649391114085,-2.43618927848966,-8.697321876311376,0.01980012145036832
20,635518889086125824,137.23270610620415,18.74116628926074,-4.465384592407755,-13.20837869612681,1,0,22.1968994140625,19.910400390625,-60.194293422136695,-1.175090164302503,-8.371239643568668,-0.35613009716253247
21,635641209754845056,138.84190604852466,18.566369746311658,-4.376180332022189,-11.131014285486195,1,0,19.9958992004395,19.3845996856689,-59.52632051549239,-2.556918944684771,-6.51265981001132,0.4995188498842551
22,635672030439913088,138.75338841789633,18.969538186235194,-4.310354022480536,-11.845731163540334,1,0,19.6383991241455,18.4435005187988,-59.23150330144938,-2.269158419655026,-7.0672917004641045,0.07673833763634255
23,635830463193424256,139.999132312995,19.762252802658715,-6.584792205166673,-13.091381925525644,1,0,19.7700996398926,18.096399307251,-57.92711532335869,-2.8273207509866842,-9.273769950222562,1.1832458992576018
24,635785284432814976,139.59848476562738,19.319710275491186,-6.519450594788479,-11.639426669946435,1,0,16.1424999237061,15.5797004699707,-58.504545878409544,-2.751383132077463,-8.04760572213528,1.9587747750623086
25,635724566479972736,140.03325344702228,19.111862759270924,-4.767166134623367,-12.434745246609625,1,0,20.1289005279541,19.3251991271973,-58.4555013451581,-3.2089301792463036,-7.75485387145032,0.0021635550455074053
26,684873285997511296,134.88835179418987,20.655998230170262,-3.4510057757046795,-11.202379479112448,1,0,21.3948993682861,19.3689994812012,-59.72340520538398,1.708613677157486,-6.152531510374049,0.13308355115015516
27,685104801914666112,135.0559668691937,21.871695979652674,-3.768197186855808,-14.698028216357717,1,0,21.0492992401123,19.9748992919922,-58.60264855748949,2.2063057147488845,-9.255019615694346,-1.398731943792401
28,685024434488326272,135.26750694153745,21.32978771858751,-3.493039346292803,-11.886709712504283,1,0,21.8339996337891,19.5998001098633,-58.963449099829006,1.756496891133957,-6.719988114855775,-0.20984261223767134
29,684830748640819584,134.28791635558173,20.23756727640676,-3.447457257260076,-11.823538684067834,1,0,20.1674003601074,18.5657997131348,-60.372965290235356,1.9734076010692263,-6.721019827424861,-0.1398625726083656
30,684981794050890112,135.18601905163942,21.05967626130748,-6.033689927570171,-12.517240458286869,1,0,20.4491004943848,19.5289001464844,-59.23374970443547,1.6807617020064027,-8.593369226758794,1.633633903696743
31,684901121681226368,133.92696033513624,20.563711988683686,-7.2310338123675555,-13.91760201928202,1,0,19.1319007873535,17.9405002593994,-60.26767770281322,2.431401790029591,-10.465078643566077,2.074483384119375
32,684986054658475136,135.1428773636368,21.132546804102386,-3.509377243053634,-12.049333793806184,1,0,21.8782005310059,19.5070991516113,-59.19244000660285,1.7530475152812273,-6.879359377919094,-0.2720144236009417
33,684913589970140672,133.98003614910255,20.749285431402672,-3.130918122518674,-11.240945699695397,1,0,21.2791996002197,19.0611991882324,-60.08281844596149,2.4842589953851797,-6.052104277820694,-0.06600874509625551
34,684803432648962560,135.83688960274822,20.97933429083311,-4.280002304980531,-11.788020730636974,1,0,18.793399810791,17.979700088501,-58.9850029457902,1.1206308331241117,-7.037421906277324,0.4428513913318156
35,684814840083402368,135.5740819778293,21.09833192210813,-6.685126547696213,-13.870119921625518,1,0,22.2570991516113,20.0949993133545,-59.011893816820645,1.3919312299199733,-10.074515167413221,1.4375755825317085
